run	batch	stage	method	members	endpoint	repeats	operations	requests	verification_requests	median_ms
explicit-final	hot	userBind	simple_bind_ssha	0	before	3	1000	1000	1002	95.180558000
explicit-final	hot	userBind	simple_bind_ssha	0	current	3	1000	1000	1002	94.326905000
explicit-final	hot	userBind	simple_bind_ssha	0	openldap	3	1000	1000	1002	75.493024000
explicit-final	hot	userBind	simple_bind_plaintext	0	before	3	1000	1000	1002	98.356616000
explicit-final	hot	userBind	simple_bind_plaintext	0	current	3	1000	1000	1002	102.151329000
explicit-final	hot	userBind	simple_bind_plaintext	0	openldap	3	1000	1000	1002	79.089167000
explicit-final	hot	userBindWrong	simple_bind_ssha	0	before	3	1000	1000	3002	90.186911000
explicit-final	hot	userBindWrong	simple_bind_ssha	0	current	3	1000	1000	3002	91.727678000
explicit-final	hot	userBindWrong	simple_bind_ssha	0	openldap	3	1000	1000	3002	70.382097000
explicit-final	hot	userBindWrong	simple_bind_plaintext	0	before	3	1000	1000	3002	88.947544000
explicit-final	hot	userBindWrong	simple_bind_plaintext	0	current	3	1000	1000	3002	89.021175000
explicit-final	hot	userBindWrong	simple_bind_plaintext	0	openldap	3	1000	1000	3002	70.101619000
explicit-final	hot	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	133.980709000
explicit-final	hot	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	135.442769000
explicit-final	hot	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	99.321158000
explicit-final	hot	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	129.540740000
explicit-final	hot	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	125.764414000
explicit-final	hot	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	94.252879000
explicit-final	distributed	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	132.577525000
explicit-final	distributed	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	131.653569000
explicit-final	distributed	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	86.327025000
explicit-final	distributed	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	265.460333000
explicit-final	distributed	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	173.137328000
explicit-final	distributed	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	122.056334000
explicit-final	groups	memberEquality	search_memberEquality	0	before	3	100	100	102	23.981416000
explicit-final	groups	memberEquality	search_memberEquality	0	current	3	100	100	102	22.833494000
explicit-final	groups	memberEquality	search_memberEquality	0	openldap	3	100	100	102	13.819994000
explicit-final	groups	groupBase	base_member_values	10	before	3	100	100	102	16.501001000
explicit-final	groups	groupBase	base_member_values	10	current	3	100	100	102	17.041918000
explicit-final	groups	groupBase	base_member_values	10	openldap	3	100	100	102	11.811505000
explicit-final	groups	groupBase	base_member_values	1000	before	3	100	100	102	112.734329000
explicit-final	groups	groupBase	base_member_values	1000	current	3	100	100	102	120.687792000
explicit-final	groups	groupBase	base_member_values	1000	openldap	3	100	100	102	103.011083000
explicit-final	groups	nestedMembership	client_bfs_member_equality	0	before	3	100	417	419	90.642291000
explicit-final	groups	nestedMembership	client_bfs_member_equality	0	current	3	100	417	419	82.606401000
explicit-final	groups	nestedMembership	client_bfs_member_equality	0	openldap	3	100	417	419	61.814532000
