run	batch	stage	method	members	endpoint	repeats	operations	requests	verification_requests	median_ms
default-final	hot	userBind	simple_bind_ssha	0	before	3	1000	1000	1002	123.719857000
default-final	hot	userBind	simple_bind_ssha	0	current	3	1000	1000	1002	131.938298000
default-final	hot	userBind	simple_bind_ssha	0	openldap	3	1000	1000	1002	106.124529000
default-final	hot	userBind	simple_bind_plaintext	0	before	3	1000	1000	1002	115.314703000
default-final	hot	userBind	simple_bind_plaintext	0	current	3	1000	1000	1002	110.754359000
default-final	hot	userBind	simple_bind_plaintext	0	openldap	3	1000	1000	1002	87.039032000
default-final	hot	userBindWrong	simple_bind_ssha	0	before	3	1000	1000	3002	112.698843000
default-final	hot	userBindWrong	simple_bind_ssha	0	current	3	1000	1000	3002	105.975294000
default-final	hot	userBindWrong	simple_bind_ssha	0	openldap	3	1000	1000	3002	84.073053000
default-final	hot	userBindWrong	simple_bind_plaintext	0	before	3	1000	1000	3002	110.168317000
default-final	hot	userBindWrong	simple_bind_plaintext	0	current	3	1000	1000	3002	112.206579000
default-final	hot	userBindWrong	simple_bind_plaintext	0	openldap	3	1000	1000	3002	86.775167000
default-final	hot	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	126.425093000
default-final	hot	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	125.855159000
default-final	hot	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	97.059584000
default-final	hot	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	113.907347000
default-final	hot	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	113.018912000
default-final	hot	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	89.055800000
default-final	distributed	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	138.651227000
default-final	distributed	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	145.149393000
default-final	distributed	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	94.703941000
default-final	distributed	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	141.362719000
default-final	distributed	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	143.027284000
default-final	distributed	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	100.815494000
default-final	groups	memberEquality	search_memberEquality	0	before	3	100	100	102	18.640253000
default-final	groups	memberEquality	search_memberEquality	0	current	3	100	100	102	16.267915000
default-final	groups	memberEquality	search_memberEquality	0	openldap	3	100	100	102	10.667791000
default-final	groups	groupBase	base_member_values	10	before	3	100	100	102	20.133707000
default-final	groups	groupBase	base_member_values	10	current	3	100	100	102	18.452297000
default-final	groups	groupBase	base_member_values	10	openldap	3	100	100	102	12.736211000
default-final	groups	groupBase	base_member_values	1000	before	3	100	100	102	94.162330000
default-final	groups	groupBase	base_member_values	1000	current	3	100	100	102	96.791709000
default-final	groups	groupBase	base_member_values	1000	openldap	3	100	100	102	85.249585000
default-final	groups	nestedMembership	client_bfs_member_equality	0	before	3	100	417	419	57.305635000
default-final	groups	nestedMembership	client_bfs_member_equality	0	current	3	100	417	419	55.110831000
default-final	groups	nestedMembership	client_bfs_member_equality	0	openldap	3	100	417	419	39.826373000
default-recheck	recheck	userBind	simple_bind_ssha	0	before	7	1000	1000	1002	91.219874000
default-recheck	recheck	userBind	simple_bind_ssha	0	current	7	1000	1000	1002	90.350451000
default-recheck	recheck	userBind	simple_bind_ssha	0	openldap	7	1000	1000	1002	71.210911000
default-recheck	recheck	userBind	simple_bind_plaintext	0	before	7	1000	1000	1002	88.502773000
default-recheck	recheck	userBind	simple_bind_plaintext	0	current	7	1000	1000	1002	87.460453000
default-recheck	recheck	userBind	simple_bind_plaintext	0	openldap	7	1000	1000	1002	68.808345000
default-recheck	recheck	userBindWrong	simple_bind_ssha	0	before	7	1000	1000	3002	104.212296000
default-recheck	recheck	userBindWrong	simple_bind_ssha	0	current	7	1000	1000	3002	95.208326000
default-recheck	recheck	userBindWrong	simple_bind_ssha	0	openldap	7	1000	1000	3002	76.706243000
default-recheck	recheck	userBindWrong	simple_bind_plaintext	0	before	7	1000	1000	3002	89.759138000
default-recheck	recheck	userBindWrong	simple_bind_plaintext	0	current	7	1000	1000	3002	90.309566000
default-recheck	recheck	userBindWrong	simple_bind_plaintext	0	openldap	7	1000	1000	3002	72.283497000
explicit-recheck	recheck	groupBase	base_member_values	10	before	7	100	100	102	13.521877000
explicit-recheck	recheck	groupBase	base_member_values	10	current	7	100	100	102	14.061998000
explicit-recheck	recheck	groupBase	base_member_values	10	openldap	7	100	100	102	9.964504000
explicit-recheck	recheck	groupBase	base_member_values	1000	before	7	100	100	102	97.458753000
explicit-recheck	recheck	groupBase	base_member_values	1000	current	7	100	100	102	96.939170000
explicit-recheck	recheck	groupBase	base_member_values	1000	openldap	7	100	100	102	90.397371000
