run	metric	ms
before-1	full_prefix	758
before-1	full_prefix	725
before-1	full_prefix	733
before-1	indexed_10000	764
before-1	concurrent_8x1000	217
before-1	paged_2x100000	1408
before-1	unindexed_negative_10	202
current-1	full_prefix	856
current-1	full_prefix	798
current-1	full_prefix	714
current-1	indexed_10000	785
current-1	concurrent_8x1000	210
current-1	paged_2x100000	1406
current-1	unindexed_negative_10	193
openldap-1	full_prefix	577
openldap-1	full_prefix	654
openldap-1	full_prefix	562
openldap-1	indexed_10000	733
openldap-1	concurrent_8x1000	246
openldap-1	paged_2x100000	1490
openldap-1	unindexed_negative_10	356
current-2	full_prefix	714
current-2	full_prefix	737
current-2	full_prefix	752
current-2	indexed_10000	998
current-2	concurrent_8x1000	212
current-2	paged_2x100000	1450
current-2	unindexed_negative_10	194
openldap-2	full_prefix	599
openldap-2	full_prefix	663
openldap-2	full_prefix	770
openldap-2	indexed_10000	601
openldap-2	concurrent_8x1000	241
openldap-2	paged_2x100000	1366
openldap-2	unindexed_negative_10	345
before-2	full_prefix	744
before-2	full_prefix	733
before-2	full_prefix	738
before-2	indexed_10000	755
before-2	concurrent_8x1000	215
before-2	paged_2x100000	1463
before-2	unindexed_negative_10	199
openldap-3	full_prefix	676
openldap-3	full_prefix	649
openldap-3	full_prefix	628
openldap-3	indexed_10000	665
openldap-3	concurrent_8x1000	230
openldap-3	paged_2x100000	1364
openldap-3	unindexed_negative_10	356
before-3	full_prefix	751
before-3	full_prefix	724
before-3	full_prefix	727
before-3	indexed_10000	816
before-3	concurrent_8x1000	213
before-3	paged_2x100000	1420
before-3	unindexed_negative_10	200
current-3	full_prefix	774
current-3	full_prefix	713
current-3	full_prefix	715
current-3	indexed_10000	771
current-3	concurrent_8x1000	218
current-3	paged_2x100000	1406
current-3	unindexed_negative_10	198
