run	metric	ms
before-1	full_prefix	927
before-1	full_prefix	632
before-1	full_prefix	669
before-1	indexed_10000	786
before-1	concurrent_8x1000	196
before-1	paged_2x100000	1151
before-1	unindexed_negative_10	208
current-1	full_prefix	581
current-1	full_prefix	678
current-1	full_prefix	822
current-1	indexed_10000	776
current-1	concurrent_8x1000	198
current-1	paged_2x100000	1185
current-1	unindexed_negative_10	204
openldap-1	full_prefix	644
openldap-1	full_prefix	571
openldap-1	full_prefix	526
openldap-1	indexed_10000	920
openldap-1	concurrent_8x1000	542
openldap-1	paged_2x100000	1104
openldap-1	unindexed_negative_10	343
current-2	full_prefix	597
current-2	full_prefix	562
current-2	full_prefix	565
current-2	indexed_10000	970
current-2	concurrent_8x1000	264
current-2	paged_2x100000	1258
current-2	unindexed_negative_10	213
openldap-2	full_prefix	526
openldap-2	full_prefix	692
openldap-2	full_prefix	482
openldap-2	indexed_10000	653
openldap-2	concurrent_8x1000	210
openldap-2	paged_2x100000	1274
openldap-2	unindexed_negative_10	345
before-2	full_prefix	656
before-2	full_prefix	576
before-2	full_prefix	579
before-2	indexed_10000	921
before-2	concurrent_8x1000	193
before-2	paged_2x100000	1185
before-2	unindexed_negative_10	1028
openldap-3	full_prefix	512
openldap-3	full_prefix	497
openldap-3	full_prefix	832
openldap-3	indexed_10000	711
openldap-3	concurrent_8x1000	220
openldap-3	paged_2x100000	1065
openldap-3	unindexed_negative_10	346
before-3	full_prefix	620
before-3	full_prefix	594
before-3	full_prefix	567
before-3	indexed_10000	735
before-3	concurrent_8x1000	194
before-3	paged_2x100000	1148
before-3	unindexed_negative_10	206
current-3	full_prefix	607
current-3	full_prefix	577
current-3	full_prefix	605
current-3	indexed_10000	1153
current-3	concurrent_8x1000	296
current-3	paged_2x100000	1273
current-3	unindexed_negative_10	211
