goos: darwin
goarch: arm64
pkg: github.com/wangle201210/ldap-go/internal/ldapwire
cpu: Apple M1 Pro
BenchmarkReadBindCompareMessagePacketReference/Compare-8       	  166022	      2158 ns/op	  20.39 MB/s	    4528 B/op	      82 allocs/op
BenchmarkReadBindCompareMessagePacketReference/Compare-8       	  160833	      2233 ns/op	  19.71 MB/s	    4528 B/op	      82 allocs/op
BenchmarkReadBindCompareMessagePacketReference/Compare-8       	  163736	      2264 ns/op	  19.44 MB/s	    4528 B/op	      82 allocs/op
BenchmarkReadBindCompareMessagePacketReference/EmptyCompare-8  	  195896	      1807 ns/op	  10.51 MB/s	    3208 B/op	      70 allocs/op
BenchmarkReadBindCompareMessagePacketReference/EmptyCompare-8  	  204306	      2082 ns/op	   9.13 MB/s	    3208 B/op	      70 allocs/op
BenchmarkReadBindCompareMessagePacketReference/EmptyCompare-8  	  138213	      2921 ns/op	   6.50 MB/s	    3208 B/op	      70 allocs/op
BenchmarkReadBindCompareMessagePacketReference/BinaryCompare-8 	  139750	      2643 ns/op	   9.08 MB/s	    4456 B/op	      82 allocs/op
BenchmarkReadBindCompareMessagePacketReference/BinaryCompare-8 	  130698	      2715 ns/op	   8.84 MB/s	    4456 B/op	      82 allocs/op
BenchmarkReadBindCompareMessagePacketReference/BinaryCompare-8 	  167108	      2392 ns/op	  10.03 MB/s	    4456 B/op	      82 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongBind-8      	  159644	      2429 ns/op	 114.04 MB/s	    5448 B/op	      79 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongBind-8      	  161972	      2402 ns/op	 115.34 MB/s	    5448 B/op	      79 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongBind-8      	  140758	      2394 ns/op	 115.68 MB/s	    5448 B/op	      79 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongCompare-8   	  121050	      2908 ns/op	  97.33 MB/s	    6576 B/op	      98 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongCompare-8   	  130106	      2879 ns/op	  98.29 MB/s	    6576 B/op	      98 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongCompare-8   	  126538	      2858 ns/op	  99.02 MB/s	    6576 B/op	      98 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongDNBind-8    	  140880	      2425 ns/op	  82.88 MB/s	    5696 B/op	      82 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongDNBind-8    	  143988	      2510 ns/op	  80.07 MB/s	    5696 B/op	      82 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongDNBind-8    	  143373	      2510 ns/op	  80.08 MB/s	    5696 B/op	      82 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongDNCompare-8 	  123500	      2894 ns/op	  70.50 MB/s	    6312 B/op	      95 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongDNCompare-8 	  126793	      3187 ns/op	  64.01 MB/s	    6312 B/op	      95 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongDNCompare-8 	  131025	      2834 ns/op	  71.98 MB/s	    6312 B/op	      95 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongAttributeCompare-8         	  132379	      2607 ns/op	  57.93 MB/s	    5160 B/op	      93 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongAttributeCompare-8         	  145309	      2682 ns/op	  56.31 MB/s	    5160 B/op	      93 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongAttributeCompare-8         	  134376	      2676 ns/op	  56.43 MB/s	    5160 B/op	      93 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongBindControls-8             	   79096	      4255 ns/op	  69.33 MB/s	    9392 B/op	     140 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongBindControls-8             	   81882	      4332 ns/op	  68.09 MB/s	    9392 B/op	     140 allocs/op
BenchmarkReadBindCompareMessagePacketReference/LongBindControls-8             	   76350	      4558 ns/op	  64.73 MB/s	    9392 B/op	     140 allocs/op
PASS
ok  	github.com/wangle201210/ldap-go/internal/ldapwire	26.983s
