run	metric	ms
before-1	full_prefix	707
before-1	full_prefix	702
before-1	full_prefix	767
before-1	indexed_10000	802
before-1	concurrent_8x1000	232
before-1	paged_2x100000	1383
before-1	unindexed_negative_10	205
current-1	full_prefix	795
current-1	full_prefix	743
current-1	full_prefix	685
current-1	indexed_10000	821
current-1	concurrent_8x1000	222
current-1	paged_2x100000	1399
current-1	unindexed_negative_10	206
openldap-1	full_prefix	651
openldap-1	full_prefix	664
openldap-1	full_prefix	649
openldap-1	indexed_10000	651
openldap-1	concurrent_8x1000	253
openldap-1	paged_2x100000	1400
openldap-1	unindexed_negative_10	347
current-2	full_prefix	752
current-2	full_prefix	732
current-2	full_prefix	708
current-2	indexed_10000	915
current-2	concurrent_8x1000	229
current-2	paged_2x100000	1438
current-2	unindexed_negative_10	202
openldap-2	full_prefix	636
openldap-2	full_prefix	649
openldap-2	full_prefix	586
openldap-2	indexed_10000	578
openldap-2	concurrent_8x1000	224
openldap-2	paged_2x100000	1283
openldap-2	unindexed_negative_10	343
before-2	full_prefix	703
before-2	full_prefix	741
before-2	full_prefix	704
before-2	indexed_10000	815
before-2	concurrent_8x1000	232
before-2	paged_2x100000	1417
before-2	unindexed_negative_10	203
openldap-3	full_prefix	861
openldap-3	full_prefix	628
openldap-3	full_prefix	637
openldap-3	indexed_10000	594
openldap-3	concurrent_8x1000	235
openldap-3	paged_2x100000	1339
openldap-3	unindexed_negative_10	355
before-3	full_prefix	767
before-3	full_prefix	725
before-3	full_prefix	684
before-3	indexed_10000	804
before-3	concurrent_8x1000	214
before-3	paged_2x100000	1470
before-3	unindexed_negative_10	205
current-3	full_prefix	700
current-3	full_prefix	702
current-3	full_prefix	712
current-3	indexed_10000	793
current-3	concurrent_8x1000	228
current-3	paged_2x100000	1452
current-3	unindexed_negative_10	197
