run	batch	stage	method	members	endpoint	repeats	operations	requests	verification_requests	median_ms
explicit-final	hot	userBind	simple_bind_ssha	0	before	3	1000	1000	1002	102.561186000
explicit-final	hot	userBind	simple_bind_ssha	0	current	3	1000	1000	1002	110.048453000
explicit-final	hot	userBind	simple_bind_ssha	0	openldap	3	1000	1000	1002	80.594168000
explicit-final	hot	userBindWrong	simple_bind_ssha	0	before	3	1000	1000	3002	104.502115000
explicit-final	hot	userBindWrong	simple_bind_ssha	0	current	3	1000	1000	3002	107.312518000
explicit-final	hot	userBindWrong	simple_bind_ssha	0	openldap	3	1000	1000	3002	79.554182000
explicit-final	hot	userBind	simple_bind_plaintext	0	before	3	1000	1000	1002	151.973334000
explicit-final	hot	userBind	simple_bind_plaintext	0	current	3	1000	1000	1002	158.192930000
explicit-final	hot	userBind	simple_bind_plaintext	0	openldap	3	1000	1000	1002	124.232502000
explicit-final	hot	userBindWrong	simple_bind_plaintext	0	before	3	1000	1000	3002	94.762961000
explicit-final	hot	userBindWrong	simple_bind_plaintext	0	current	3	1000	1000	3002	95.760964000
explicit-final	hot	userBindWrong	simple_bind_plaintext	0	openldap	3	1000	1000	3002	73.290345000
explicit-final	hot	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	127.440336000
explicit-final	hot	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	131.091707000
explicit-final	hot	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	96.357352000
explicit-final	hot	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	122.741116000
explicit-final	hot	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	121.899320000
explicit-final	hot	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	93.887153000
explicit-final	distributed	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	142.014125000
explicit-final	distributed	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	140.641482000
explicit-final	distributed	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	95.436870000
explicit-final	distributed	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	148.212054000
explicit-final	distributed	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	151.206313000
explicit-final	distributed	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	104.123763000
explicit-final	groups	memberEquality	search_memberEquality	0	before	3	100	100	102	17.738086000
explicit-final	groups	memberEquality	search_memberEquality	0	current	3	100	100	102	16.986541000
explicit-final	groups	memberEquality	search_memberEquality	0	openldap	3	100	100	102	11.446543000
explicit-final	groups	groupBase	base_member_values	10	before	3	100	100	102	17.110080000
explicit-final	groups	groupBase	base_member_values	10	current	3	100	100	102	16.173953000
explicit-final	groups	groupBase	base_member_values	10	openldap	3	100	100	102	11.839794000
explicit-final	groups	groupBase	base_member_values	1000	before	3	100	100	102	102.519622000
explicit-final	groups	groupBase	base_member_values	1000	current	3	100	100	102	103.091545000
explicit-final	groups	groupBase	base_member_values	1000	openldap	3	100	100	102	91.366501000
explicit-final	groups	nestedMembership	client_bfs_member_equality	0	before	3	100	417	419	59.260045000
explicit-final	groups	nestedMembership	client_bfs_member_equality	0	current	3	100	417	419	59.060071000
explicit-final	groups	nestedMembership	client_bfs_member_equality	0	openldap	3	100	417	419	43.879629000
default-final	hot	userBind	simple_bind_ssha	0	before	3	1000	1000	1002	91.840352000
default-final	hot	userBind	simple_bind_ssha	0	current	3	1000	1000	1002	92.475968000
default-final	hot	userBind	simple_bind_ssha	0	openldap	3	1000	1000	1002	73.452619000
default-final	hot	userBindWrong	simple_bind_ssha	0	before	3	1000	1000	3002	86.138109000
default-final	hot	userBindWrong	simple_bind_ssha	0	current	3	1000	1000	3002	86.928529000
default-final	hot	userBindWrong	simple_bind_ssha	0	openldap	3	1000	1000	3002	69.667755000
default-final	hot	userBind	simple_bind_plaintext	0	before	3	1000	1000	1002	87.990573000
default-final	hot	userBind	simple_bind_plaintext	0	current	3	1000	1000	1002	89.215156000
default-final	hot	userBind	simple_bind_plaintext	0	openldap	3	1000	1000	1002	68.832659000
