run	batch	stage	method	members	endpoint	repeats	operations	requests	verification_requests	median_ms
default-final	hot	userBindWrong	simple_bind_plaintext	0	before	3	1000	1000	3002	96.828743000
default-final	hot	userBindWrong	simple_bind_plaintext	0	current	3	1000	1000	3002	94.569816000
default-final	hot	userBindWrong	simple_bind_plaintext	0	openldap	3	1000	1000	3002	74.035482000
default-final	hot	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	121.599169000
default-final	hot	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	121.796455000
default-final	hot	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	94.794842000
default-final	hot	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	118.114672000
default-final	hot	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	118.530117000
default-final	hot	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	89.799334000
default-final	distributed	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	132.136129000
default-final	distributed	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	132.773724000
default-final	distributed	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	91.157127000
default-final	distributed	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	127.559716000
default-final	distributed	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	129.194889000
default-final	distributed	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	91.111833000
default-final	groups	memberEquality	search_memberEquality	0	before	3	100	100	102	17.181419000
default-final	groups	memberEquality	search_memberEquality	0	current	3	100	100	102	17.107670000
default-final	groups	memberEquality	search_memberEquality	0	openldap	3	100	100	102	11.764752000
default-final	groups	groupBase	base_member_values	10	before	3	100	100	102	13.921499000
default-final	groups	groupBase	base_member_values	10	current	3	100	100	102	14.144588000
default-final	groups	groupBase	base_member_values	10	openldap	3	100	100	102	10.250163000
default-final	groups	groupBase	base_member_values	1000	before	3	100	100	102	96.845499000
default-final	groups	groupBase	base_member_values	1000	current	3	100	100	102	97.612080000
default-final	groups	groupBase	base_member_values	1000	openldap	3	100	100	102	88.710832000
default-final	groups	nestedMembership	client_bfs_member_equality	0	before	3	100	417	419	51.901217000
default-final	groups	nestedMembership	client_bfs_member_equality	0	current	3	100	417	419	51.663738000
default-final	groups	nestedMembership	client_bfs_member_equality	0	openldap	3	100	417	419	36.838018000
