goos: darwin
goarch: arm64
pkg: github.com/wangle201210/ldap-go/internal/directory
cpu: Apple M1 Pro
BenchmarkDNDisplayCompare/single/prefix-miss/equals/string-8  	23564209	         7.986 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/single/prefix-miss/suffix/direct-8  	25433422	         6.746 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/single/prefix-miss/suffix/direct-8  	27886387	         7.300 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/single/prefix-miss/suffix/string-8  	10356358	        19.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/single/prefix-miss/suffix/string-8  	 8351230	        20.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/single/tail-miss/equals/direct-8    	27826623	         5.795 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/single/tail-miss/equals/direct-8    	33024492	         6.111 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/single/tail-miss/equals/string-8    	24577572	         8.981 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/single/tail-miss/equals/string-8    	24480904	         7.620 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/single/tail-miss/suffix/direct-8    	30365652	         6.146 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/single/tail-miss/suffix/direct-8    	29985319	         6.849 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/single/tail-miss/suffix/string-8    	 5951151	        29.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/single/tail-miss/suffix/string-8    	 6773821	        25.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/equal/equals/direct-8          	 8663170	        19.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/equal/equals/direct-8          	 8749668	        19.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/equal/equals/string-8          	 1000000	       172.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/root/equal/equals/string-8          	 1000000	       151.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/root/equal/suffix/direct-8          	 9616281	        18.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/equal/suffix/direct-8          	 9538297	        18.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/equal/suffix/string-8          	 1346451	       139.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/root/equal/suffix/string-8          	 1402053	       113.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/root/child/equals/direct-8          	33422304	         5.544 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/child/equals/direct-8          	37129669	         5.962 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/child/equals/string-8          	 1069302	       146.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/root/child/equals/string-8          	 2479848	        94.87 ns/op	      48 B/op	       1 allocs/op
