run	batch	stage	method	members	endpoint	repeats	operations	requests	verification_requests	median_ms
default-final	groups	nestedMembership	client_bfs_member_equality	0	openldap	3	100	417	419	46.361005000
explicit-distributed-recheck	queries	nonrootBase	search_nonrootBase	0	before	7	1000	1000	1002	131.863974000
explicit-distributed-recheck	queries	nonrootBase	search_nonrootBase	0	current	7	1000	1000	1002	124.441948000
explicit-distributed-recheck	queries	nonrootBase	search_nonrootBase	0	openldap	7	1000	1000	1002	81.525486000
explicit-distributed-recheck	queries	nonrootEquality	search_nonrootEquality	0	before	7	1000	1000	1002	128.528815000
explicit-distributed-recheck	queries	nonrootEquality	search_nonrootEquality	0	current	7	1000	1000	1002	120.791024000
explicit-distributed-recheck	queries	nonrootEquality	search_nonrootEquality	0	openldap	7	1000	1000	1002	83.045458000
explicit-experiment	hot	userBind	simple_bind_ssha	0	before	3	1000	1000	1002	94.575000000
explicit-experiment	hot	userBind	simple_bind_ssha	0	current	3	1000	1000	1002	94.619636000
explicit-experiment	hot	userBind	simple_bind_ssha	0	projection	3	1000	1000	1002	96.007918000
explicit-experiment	hot	userBind	simple_bind_ssha	0	openldap	3	1000	1000	1002	74.936008000
explicit-experiment	hot	userBind	simple_bind_plaintext	0	before	3	1000	1000	1002	95.568417000
explicit-experiment	hot	userBind	simple_bind_plaintext	0	current	3	1000	1000	1002	94.309629000
explicit-experiment	hot	userBind	simple_bind_plaintext	0	projection	3	1000	1000	1002	95.624531000
explicit-experiment	hot	userBind	simple_bind_plaintext	0	openldap	3	1000	1000	1002	75.989995000
explicit-experiment	hot	userBindWrong	simple_bind_ssha	0	before	3	1000	1000	3002	90.603964000
explicit-experiment	hot	userBindWrong	simple_bind_ssha	0	current	3	1000	1000	3002	89.370568000
explicit-experiment	hot	userBindWrong	simple_bind_ssha	0	projection	3	1000	1000	3002	92.823500000
explicit-experiment	hot	userBindWrong	simple_bind_ssha	0	openldap	3	1000	1000	3002	72.039647000
explicit-experiment	hot	userBindWrong	simple_bind_plaintext	0	before	3	1000	1000	3002	89.773586000
explicit-experiment	hot	userBindWrong	simple_bind_plaintext	0	current	3	1000	1000	3002	88.601024000
explicit-experiment	hot	userBindWrong	simple_bind_plaintext	0	projection	3	1000	1000	3002	90.173342000
explicit-experiment	hot	userBindWrong	simple_bind_plaintext	0	openldap	3	1000	1000	3002	71.035801000
explicit-experiment	hot	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	118.685246000
explicit-experiment	hot	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	116.157181000
explicit-experiment	hot	nonrootBase	search_nonrootBase	0	projection	3	1000	1000	1002	117.692036000
explicit-experiment	hot	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	81.774635000
explicit-experiment	hot	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	127.296301000
explicit-experiment	hot	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	124.776632000
explicit-experiment	hot	nonrootEquality	search_nonrootEquality	0	projection	3	1000	1000	1002	122.393964000
explicit-experiment	hot	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	87.207874000
