File: profile-current.test
Type: alloc_space
Time: 2026-09-23 14:47:08 CST
Showing nodes accounting for 2189.22MB, 95.34% of 2296.28MB total
Dropped 87 nodes (cum <= 11.48MB)
      flat  flat%   sum%        cum   cum%
         0     0% 95.34%   487.03MB 21.21%  github.com/wangle201210/ldap-go/internal/acl.(*Policy).Allowed
         0     0% 95.34%   142.51MB  6.21%  github.com/wangle201210/ldap-go/internal/acl.(*Policy).rulesFor
         0     0% 95.34%   142.51MB  6.21%  github.com/wangle201210/ldap-go/internal/acl.normalizeACLDN
         0     0% 95.34%   344.52MB 15.00%  github.com/wangle201210/ldap-go/internal/acl.parseACLDN
         0     0% 95.34%       66MB  2.87%  github.com/wangle201210/ldap-go/internal/directory.DN.String (inline)
         0     0% 95.34%    88.01MB  3.83%  github.com/wangle201210/ldap-go/internal/directory.DN.ValidateIdentityKey
         0     0% 95.34%   594.53MB 25.89%  github.com/wangle201210/ldap-go/internal/directory.ParseDN
         0     0% 95.34%   483.53MB 21.06%  github.com/wangle201210/ldap-go/internal/directory.ParseDNWithNormalizer
         0     0% 95.34%   338.01MB 14.72%  github.com/wangle201210/ldap-go/internal/directory.parseDN
         0     0% 95.34%       52MB  2.26%  github.com/wangle201210/ldap-go/internal/ldapwire.EncodeBindResponse (inline)
         0     0% 95.34%    17.50MB  0.76%  github.com/wangle201210/ldap-go/internal/ldapwire.ReadMessageWithDynamicFilterDepthAndSize
         0     0% 95.34%       27MB  1.18%  github.com/wangle201210/ldap-go/internal/ldapwire.appendLDAPResult
         0     0% 95.34%       18MB  0.78%  github.com/wangle201210/ldap-go/internal/ldapwire.encodeMessage (inline)
         0     0% 95.34%       18MB  0.78%  github.com/wangle201210/ldap-go/internal/ldapwire.encodeMessageWithControlPresence
         0     0% 95.34%       52MB  2.26%  github.com/wangle201210/ldap-go/internal/ldapwire.encodeResultMessage
         0     0% 95.34%       14MB  0.61%  github.com/wangle201210/ldap-go/internal/ldapwire.octetString
         0     0% 95.34%    17.50MB  0.76%  github.com/wangle201210/ldap-go/internal/ldapwire.readMessageWithFilterDepthProviderAndSize
         0     0% 95.34%       54MB  2.35%  github.com/wangle201210/ldap-go/internal/schema.(*Registry).AttributeValues
         0     0% 95.34%      104MB  4.53%  github.com/wangle201210/ldap-go/internal/schema.(*Registry).NormalizeDNAttribute
         0     0% 95.34%       42MB  1.83%  github.com/wangle201210/ldap-go/internal/schema.(*Registry).attributeDescriptionSubtype
         0     0% 95.34%      104MB  4.53%  github.com/wangle201210/ldap-go/internal/schema.(*Registry).normalizeDNAttributeLocked
         0     0% 95.34%      104MB  4.53%  github.com/wangle201210/ldap-go/internal/schema.(*Registry).normalizeWithRuleLocked
         0     0% 95.34%    38.50MB  1.68%  github.com/wangle201210/ldap-go/internal/schema.canonicalMatchingRule
         0     0% 95.34%    65.50MB  2.85%  github.com/wangle201210/ldap-go/internal/schema.normalizeCaseIgnore
         0     0% 95.34%       86MB  3.75%  github.com/wangle201210/ldap-go/internal/schema.normalizeWithRule
         0     0% 95.34%    44.50MB  1.94%  github.com/wangle201210/ldap-go/internal/schema.schemaKey
         0     0% 95.34%   505.03MB 21.99%  github.com/wangle201210/ldap-go/internal/server.(*Server).allowed
         0     0% 95.34%   451.07MB 19.64%  github.com/wangle201210/ldap-go/internal/server.(*Server).authenticateReadOnlyPasswordBind.func1
         0     0% 95.34%    12.50MB  0.54%  github.com/wangle201210/ldap-go/internal/server.(*Server).connectionACLSubject
         0     0% 95.34%   407.36MB 17.74%  github.com/wangle201210/ldap-go/internal/server.(*Server).handleAdd
         0     0% 95.34%   407.36MB 17.74%  github.com/wangle201210/ldap-go/internal/server.(*Server).handleAdd.func1
         0     0% 95.34%   478.58MB 20.84%  github.com/wangle201210/ldap-go/internal/server.(*Server).preverifyExternalPasswordBind.func1
         0     0% 95.34%  2241.81MB 97.63%  github.com/wangle201210/ldap-go/internal/server.(*Server).serveConnection.func4
         0     0% 95.34%   410.95MB 17.90%  github.com/wangle201210/ldap-go/internal/server.(*Server).updateStorage
         0     0% 95.34%   409.94MB 17.85%  github.com/wangle201210/ldap-go/internal/server.(*Server).updateStorage.func1
         0     0% 95.34%   280.02MB 12.19%  github.com/wangle201210/ldap-go/internal/server.(*Server).verifyPasswordBindValues
         0     0% 95.34%   410.95MB 17.90%  github.com/wangle201210/ldap-go/internal/server.(*accessContextStore).Update
         0     0% 95.34%   409.94MB 17.85%  github.com/wangle201210/ldap-go/internal/server.(*accessContextStore).Update.func1
         0     0% 95.34%   954.15MB 41.55%  github.com/wangle201210/ldap-go/internal/server.(*accessContextStore).View.func1
         0     0% 95.34%   410.95MB 17.90%  github.com/wangle201210/ldap-go/internal/server.(*homedirEffectStore).Update
