run	metric	ms
before-1	full_prefix	587
before-1	full_prefix	566
before-1	full_prefix	575
before-1	indexed_10000	791
before-1	concurrent_8x1000	224
before-1	paged_2x100000	1182
before-1	unindexed_negative_10	203
current-1	full_prefix	599
current-1	full_prefix	562
current-1	full_prefix	576
current-1	indexed_10000	812
current-1	concurrent_8x1000	236
current-1	paged_2x100000	1153
current-1	unindexed_negative_10	223
openldap-1	full_prefix	518
openldap-1	full_prefix	508
openldap-1	full_prefix	498
openldap-1	indexed_10000	643
openldap-1	concurrent_8x1000	233
openldap-1	paged_2x100000	1069
openldap-1	unindexed_negative_10	380
current-2	full_prefix	598
current-2	full_prefix	564
current-2	full_prefix	588
current-2	indexed_10000	824
current-2	concurrent_8x1000	231
current-2	paged_2x100000	1156
current-2	unindexed_negative_10	208
openldap-2	full_prefix	534
openldap-2	full_prefix	507
openldap-2	full_prefix	499
openldap-2	indexed_10000	635
openldap-2	concurrent_8x1000	228
openldap-2	paged_2x100000	1126
openldap-2	unindexed_negative_10	375
before-2	full_prefix	601
before-2	full_prefix	577
before-2	full_prefix	563
before-2	indexed_10000	824
before-2	concurrent_8x1000	232
before-2	paged_2x100000	1150
before-2	unindexed_negative_10	211
openldap-3	full_prefix	509
openldap-3	full_prefix	691
openldap-3	full_prefix	562
openldap-3	indexed_10000	633
openldap-3	concurrent_8x1000	230
openldap-3	paged_2x100000	1074
openldap-3	unindexed_negative_10	345
before-3	full_prefix	589
before-3	full_prefix	571
before-3	full_prefix	566
before-3	indexed_10000	834
before-3	concurrent_8x1000	228
before-3	paged_2x100000	1144
before-3	unindexed_negative_10	208
current-3	full_prefix	595
current-3	full_prefix	572
current-3	full_prefix	563
current-3	indexed_10000	798
current-3	concurrent_8x1000	232
current-3	paged_2x100000	1198
current-3	unindexed_negative_10	206
