run	metric	ms
before-1	full_prefix	740
before-1	full_prefix	743
before-1	full_prefix	775
current-1	full_prefix	703
current-1	full_prefix	692
current-1	full_prefix	685
openldap-1	full_prefix	618
openldap-1	full_prefix	603
openldap-1	full_prefix	619
current-2	full_prefix	760
current-2	full_prefix	705
current-2	full_prefix	695
openldap-2	full_prefix	626
openldap-2	full_prefix	585
openldap-2	full_prefix	633
before-2	full_prefix	731
before-2	full_prefix	724
before-2	full_prefix	717
openldap-3	full_prefix	612
openldap-3	full_prefix	598
openldap-3	full_prefix	609
before-3	full_prefix	769
before-3	full_prefix	723
before-3	full_prefix	770
current-3	full_prefix	746
current-3	full_prefix	747
current-3	full_prefix	747
