run	metric	ms
before-1	full_prefix	603
before-1	full_prefix	584
before-1	full_prefix	570
before-1	indexed_10000	831
before-1	concurrent_8x1000	185
before-1	paged_2x100000	1255
before-1	unindexed_negative_10	212
current-1	full_prefix	586
current-1	full_prefix	547
current-1	full_prefix	538
current-1	indexed_10000	769
current-1	concurrent_8x1000	198
current-1	paged_2x100000	1192
current-1	unindexed_negative_10	204
openldap-1	full_prefix	489
openldap-1	full_prefix	499
openldap-1	full_prefix	493
openldap-1	indexed_10000	659
openldap-1	concurrent_8x1000	203
openldap-1	paged_2x100000	1018
openldap-1	unindexed_negative_10	344
current-2	full_prefix	578
current-2	full_prefix	549
current-2	full_prefix	565
current-2	indexed_10000	749
current-2	concurrent_8x1000	199
current-2	paged_2x100000	1156
current-2	unindexed_negative_10	201
openldap-2	full_prefix	559
openldap-2	full_prefix	541
openldap-2	full_prefix	517
openldap-2	indexed_10000	625
openldap-2	concurrent_8x1000	201
openldap-2	paged_2x100000	1047
openldap-2	unindexed_negative_10	352
before-2	full_prefix	604
before-2	full_prefix	573
before-2	full_prefix	562
before-2	indexed_10000	1766
before-2	concurrent_8x1000	393
before-2	paged_2x100000	1341
before-2	unindexed_negative_10	506
openldap-3	full_prefix	525
openldap-3	full_prefix	509
openldap-3	full_prefix	508
openldap-3	indexed_10000	631
openldap-3	concurrent_8x1000	204
openldap-3	paged_2x100000	1118
openldap-3	unindexed_negative_10	342
before-3	full_prefix	832
before-3	full_prefix	606
before-3	full_prefix	595
before-3	indexed_10000	856
before-3	concurrent_8x1000	265
before-3	paged_2x100000	1396
before-3	unindexed_negative_10	226
current-3	full_prefix	593
current-3	full_prefix	551
current-3	full_prefix	555
current-3	indexed_10000	805
current-3	concurrent_8x1000	208
current-3	paged_2x100000	1157
current-3	unindexed_negative_10	214
