side	repeat	ms
before	0	358
current	0	257
projection	0	247
openldap	0	201
before	1	201
current	1	188
projection	1	184
openldap	1	209
current	2	192
projection	2	187
openldap	2	203
before	2	192
projection	3	194
openldap	3	208
before	3	186
current	3	194
