run	metric	ms
before-1	full_prefix	569
before-1	full_prefix	564
before-1	full_prefix	544
before-1	indexed_10000	785
before-1	concurrent_8x1000	193
before-1	paged_2x100000	1250
before-1	unindexed_negative_10	202
current-1	full_prefix	614
current-1	full_prefix	549
current-1	full_prefix	547
current-1	indexed_10000	803
current-1	concurrent_8x1000	305
current-1	paged_2x100000	1162
current-1	unindexed_negative_10	211
openldap-1	full_prefix	498
openldap-1	full_prefix	476
openldap-1	full_prefix	538
openldap-1	indexed_10000	647
openldap-1	concurrent_8x1000	216
openldap-1	paged_2x100000	1042
openldap-1	unindexed_negative_10	338
current-2	full_prefix	576
current-2	full_prefix	544
current-2	full_prefix	536
current-2	indexed_10000	811
current-2	concurrent_8x1000	251
current-2	paged_2x100000	1207
current-2	unindexed_negative_10	216
openldap-2	full_prefix	512
openldap-2	full_prefix	553
openldap-2	full_prefix	489
openldap-2	indexed_10000	642
openldap-2	concurrent_8x1000	216
openldap-2	paged_2x100000	1211
openldap-2	unindexed_negative_10	348
before-2	full_prefix	568
before-2	full_prefix	699
before-2	full_prefix	616
before-2	indexed_10000	782
before-2	concurrent_8x1000	192
before-2	paged_2x100000	1145
before-2	unindexed_negative_10	205
openldap-3	full_prefix	491
openldap-3	full_prefix	525
openldap-3	full_prefix	477
openldap-3	indexed_10000	753
openldap-3	concurrent_8x1000	222
openldap-3	paged_2x100000	1039
openldap-3	unindexed_negative_10	339
before-3	full_prefix	574
before-3	full_prefix	556
before-3	full_prefix	567
before-3	indexed_10000	765
before-3	concurrent_8x1000	209
before-3	paged_2x100000	1143
before-3	unindexed_negative_10	206
current-3	full_prefix	607
current-3	full_prefix	564
current-3	full_prefix	543
current-3	indexed_10000	756
current-3	concurrent_8x1000	228
current-3	paged_2x100000	1254
current-3	unindexed_negative_10	209
