run	metric	ms
before-1	full_prefix	832
before-1	full_prefix	838
before-1	full_prefix	2130
before-1	indexed_10000	932
before-1	concurrent_8x1000	232
before-1	paged_2x100000	1644
before-1	unindexed_negative_10	265
current-1	full_prefix	780
current-1	full_prefix	738
current-1	full_prefix	1658
current-1	indexed_10000	846
current-1	concurrent_8x1000	213
current-1	paged_2x100000	1602
current-1	unindexed_negative_10	240
openldap-1	full_prefix	701
openldap-1	full_prefix	722
openldap-1	full_prefix	2254
openldap-1	indexed_10000	1820
openldap-1	concurrent_8x1000	523
openldap-1	paged_2x100000	1807
openldap-1	unindexed_negative_10	411
current-2	full_prefix	812
current-2	full_prefix	776
current-2	full_prefix	808
current-2	indexed_10000	835
current-2	concurrent_8x1000	210
current-2	paged_2x100000	2904
current-2	unindexed_negative_10	214
openldap-2	full_prefix	704
openldap-2	full_prefix	672
openldap-2	full_prefix	684
openldap-2	indexed_10000	738
openldap-2	concurrent_8x1000	230
openldap-2	paged_2x100000	1564
openldap-2	unindexed_negative_10	374
before-2	full_prefix	805
before-2	full_prefix	774
before-2	full_prefix	791
before-2	indexed_10000	825
before-2	concurrent_8x1000	205
before-2	paged_2x100000	1630
before-2	unindexed_negative_10	210
openldap-3	full_prefix	674
openldap-3	full_prefix	759
openldap-3	full_prefix	1002
openldap-3	indexed_10000	650
openldap-3	concurrent_8x1000	302
openldap-3	paged_2x100000	1464
openldap-3	unindexed_negative_10	352
before-3	full_prefix	883
before-3	full_prefix	795
before-3	full_prefix	798
before-3	indexed_10000	941
before-3	concurrent_8x1000	211
before-3	paged_2x100000	1645
before-3	unindexed_negative_10	219
current-3	full_prefix	810
current-3	full_prefix	755
current-3	full_prefix	736
current-3	indexed_10000	815
current-3	concurrent_8x1000	211
current-3	paged_2x100000	1502
current-3	unindexed_negative_10	211
