side	repeat	ms
before	0	320
current	0	219
openldap	0	213
current	1	196
openldap	1	204
before	1	195
openldap	2	203
before	2	308
current	2	568
before	3	419
current	3	407
openldap	3	245
current	4	429
openldap	4	301
before	4	292
openldap	5	262
before	5	334
current	5	248
before	6	245
current	6	276
openldap	6	355
current	7	242
openldap	7	259
before	7	247
